user_id,name,username,email,city,company,website,total_posts,avg_title_length,avg_body_length
1,Leanne Graham,Bret,Sincere@april.biz,Gwenborough,Romaguera-Crona,hildegard.org,10,33.8,164.5
2,Ervin Howell,Antonette,Shanna@melissa.tv,Wisokyburgh,Deckow-Crist,anastasia.net,10,40.0,162.9
3,Clementine Bauch,Samantha,Nathan@yesenia.net,McKenziehaven,Romaguera-Jacobson,ramiro.info,10,37.1,153.8
4,Patricia Lebsack,Karianne,Julianne.OConner@kory.org,South Elvis,Robel-Corkery,kale.biz,10,35.1,182.3
5,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,Roscoeview,Keebler LLC,demarco.info,10,48.4,162.5
6,Mrs. Dennis Schulist,Leopoldo_Corkery,Karley_Dach@jasper.info,South Christy,Considine-Lockman,ola.org,10,42.1,147.0
7,Kurtis Weissnat,Elwyn.Skiles,Telly.Hoeger@billy.biz,Howemouth,Johns Group,elvis.io,10,37.4,163.5
8,Nicholas Runolfsdottir V,Maxime_Nienow,Sherwood@rosamond.me,Aliyaview,Abernathy Group,jacynthe.com,10,43.6,160.6
9,Glenna Reichert,Delphine,Chaim_McDermott@dana.io,Bartholomebury,Yost and Sons,conrad.com,10,42.3,154.6
10,Clementina DuBuque,Moriah.Stanton,Rey.Padberg@karina.biz,Lebsackbury,Hoeger LLC,ambrose.net,10,35.4,154.7
