id,name,email,post_count,avg_post_length
1,Leanne Graham,sincere@april.biz,10,164.5
2,Ervin Howell,shanna@melissa.tv,10,162.9
3,Clementine Bauch,nathan@yesenia.net,10,153.8
4,Patricia Lebsack,julianne.oconner@kory.org,10,182.3
5,Chelsey Dietrich,lucio_hettinger@annie.ca,10,162.5
6,Mrs. Dennis Schulist,karley_dach@jasper.info,10,147.0
7,Kurtis Weissnat,telly.hoeger@billy.biz,10,163.5
8,Nicholas Runolfsdottir V,sherwood@rosamond.me,10,160.6
9,Glenna Reichert,chaim_mcdermott@dana.io,10,154.6
10,Clementina DuBuque,rey.padberg@karina.biz,10,154.7
